keys	en
read_me	Try to keep the same rules for uppercase and lowercase letters. Titles usually have all words starting with an uppercase letter. Some words are fully uppercase, keep them in uppercase. Do not forget to add line breaks with Ctrl+Enter when required. Check comments in the english translation for help.
home	Home
universes	Universes
quit	Quit
credits	Credits
cps	Cps
mining	Mining #Cps
diamonds	Diamonds
electronics	Electronics
eps	Eps
producing	Producing #Eps
power	Power
generating	Generating #W
research_points	Science A
research_points2	Science B
research_points3	Science C
research_points4	Science D
data	Data
bps	Bps
uploading	Uploading #Bps
level	Level
lv	Lv
hack_level	Hacking Level
hack_points	Hack Points
uploads	Uploads
new_upload	Select Format
image	Image
music	Music
video	Video
game	Game
gpu_driver	GPU Driver
network_driver	Network Driver
of	of
and	and
infinity	Infinity
task_manager	Task Manager
daily	Daily
components	Components
purchase	Purchase
upgrade	Upgrade
expand	Expand
buy	Buy
max	Max
unit	Unit
warning	Warning
network	Network
network_radio_transceiver1	Radio
network_radio_transceiver2	Radio Mk.2
network_2g	2G
network_2.5g	2.5G
network_3g	3G
network_3.5g	3.5G
network_dial_up1	Dial Up
network_dial_up2	Dial Up Mk.2
network_dsl1	DSL
network_dsl2	DSL Mk.2
network_4g	4G
network_4.5g	4.5G
network_satellite1	Satellite
network_satellite2	Satellite Mk.2
network_5g	5G
network_6g	6G
network_fiber1	Fiber
network_fiber2	Fiber Mk.2
network_fiber3	Fiber Mk.3
network_entangloporter	Data Entangloporter
network_desc	Increases upload speed
gpu	GPU
gpu_desc	Increases credit mining power
cpu	CPU
cpu_desc	Increases overall system performance
upgrades	Upgrades
talents	TALENTS
passives	PERKS
points	Points
hacks	Hacks
equip	Equip
equipped	Equipped
unequip	Unequip
modules	Modules
unobtained	Unobtained
unique	Unique
craft	Craft
remake	Remake
keep	Keep
install	Install
installed	Installed
uninstall	Uninstall
new	New
old	Old
none	None
score	Score
manufactory	Manufactory
assemblers	Assemblers
fabricator	Circuit Fabricator
modifications	Modifications
modification_optimize	Conveyor Speed
modification_optimize_desc	20% Production Speed
modification_recycler	Recycler
modification_recycler_desc	Increases electronics from artifacts by 200%
modification_injection	Overwork
modification_injection_desc	100% production speed, 100% less mining power
modification_turbo	Turbo
modification_turbo_desc	Doubles Production Speed but halves power generation
modification_upgrade	Conveyor Size
modification_upgrade_desc	Doubles production speed
assembly	Assembly
network_assembler	Network Assembler
gpu_assembler	GPU Assembler
on	ON
off	OFF
overclocking	Overclocking
overclocker	Overclocker
space	Space
heat	Heat
overheating	Overheating
overclock	Overclock
boost	Boost
boost_factor	Boost Factor
generators	GENERATORS
amplifiers	AMPLIFIERS
generator_solar	Solar Panel
generator_wind	Wind Turbine
generator_coal	Coal Generator
generator_steam	Steam Engine
generator_fission	Fission Reactor
generator_fusion	Fusion Reactor
generator_dyson	Dyson Sphere
generator_refrigerator	Dilution Refrigerator
generator_perpetual	Perpetual Generator
amplifier	Amplifier
credits_amplifier	GPU Amplifier
data_amplifier	Network Amplifier
energy_amplifier	Power Amplifier
electronics_amplifier	Production Amplifier
charges	Charges
charging	Charging
amplified	Amplified
amplifier_speed	Speed
amplifier_speed_desc	Increases charging speed
amplifier_power	Power
amplifier_power_desc	Increases the amplification effect
amplifier_duration	Duration
amplifier_duration_desc	Increases the amplification duration
amplifier_charges	Max Charges
amplifier_charges_desc	Increases the charge capacity
busy	Busy
research_title	Research
laboratory	Laboratory
laboratory_desc	Uses submitted data to produce science points
advanced_laboratory	Advanced Laboratory
ultimate_laboratory	Ultimate Laboratory
uber_laboratory	Uber Laboratory
reboot	T1 Reboot
reboot2	T2 Reboot
reboot3	T3 Reboot
reboot4	T4 Reboot
quick_research	Quick Research
stored	Stored
reboot_desc	Rebooting now will reset your components. Would you like to continue?
reboot2_desc	Rebooting now will reset your components and milestones. Would you like to continue?
reboot_rewards	You will receive
research	Research
cancel	Cancel
shop	Shop
items	Items
particle_accelerator	Particle Accelerator
particle_accelerator_desc	Smashing particles together to produce # diamonds per second Each unit produces 100 diamonds per second
support_us	You can contribute to our development journey by purchasing a particle accelerator that passively generates diamonds over time. You can also receive diamonds instantly by watching an advertisement.
watch_ad	Watch AD
upgrade_speed	Upload Speed
upgrade_speed_desc	Increases upload speed by #%
upgrade_power	Mining Power
upgrade_power_desc	Increases credit mining power by #%
upgrade_quality	Connection Quality
upgrade_quality_desc	Increases connection quality by #%, reducing speed fluctuation
upgrade_signal	Signal Quality
upgrade_signal_desc	Reduces the chance of disconnection events by #%
upgrade_slots	Upload Slot
upgrade_slots_desc	Increases the slot capacity of uploads by #
upgrade_hack_slots	Hack Slot
upgrade_hack_slots_desc	Increases the slot capacity of hacks by #
upgrade_offline_time	Offline Time
upgrade_offline_time_desc	Increases the offline time limit by # hours
upgrade_offline_ratio	Offline Ratio
upgrade_offline_ratio_desc	Increases offline gains by #%
upgrade_battery_recharge	Battery Voltage
upgrade_battery_recharge_desc	Increases battery recharge rate by #%
upgrade_battery_increase	Battery Capacity
upgrade_battery_increase_desc	Increases battery capacity by #%
upgrade_luck	Luck
upgrade_luck_desc	Increases spawn rate of artifacts by #%
upgrade_anti_virus	Antivirus
upgrade_anti_virus_desc	Reduces virus spawn chance by 100%
upgrade_discount	Charisma
upgrade_discount_desc	Components are #% cheaper
upgrade_compression	Compression
upgrade_compression_desc	Reduces file size by #%
upgrade_module_slots	Module Slot
upgrade_module_slots_desc	Increases the slot capacity of modules by #
upgrade_crafting_speed	Crafting Speed
upgrade_crafting_speed_desc	Increases production of module parts by #%
upgrade_production	Production Speed
upgrade_production_desc	Increases the fabricator speed by #%
upgrade_energy	Power Generation
upgrade_energy_desc	Increases power generation by #%
upgrade_cooling	Cooling
upgrade_cooling_desc	Increases the maximum heat threshold by #%
upgrade_robots	Additional Robot
upgrade_robots_desc	Increases the number of robot workers by #
upgrade_graviton_production	Graviton Production
upgrade_graviton_production_desc	Increases graviton production by #%
technologies	TECHNOLOGIES
perks	MILESTONES
shaper	SHAPER
research_bulk_purchase	Bulk Purchase
research_bulk_purchase_desc	Unlocks the multi purchase feature
research_modules	Modules
research_modules_desc	Unlocks the access to modules that can modify and boost your system
research_gadget_deals	GadgetDeals.com
research_gadget_deals_desc	Automatically sells your old components at a 50% price
research_kludge	Kludge
research_kludge_desc	Modules can have an additional attribute
research_moore_law	Moore's Law
research_moore_law_desc	Unlocks a milestone that increases the performance boost granted by the CPU component
research_manufactory	Manufactory
research_manufactory_desc	Unlocks fabricators that can automate the production of components
research_injection	Overwork
research_injection_desc	Unlocks the Overwork modification for the manufactory
research_turbo	Turbo
research_turbo_desc	Unlocks the Turbo modification for the manufactory
research_overclocker	Overclocking
research_overclocker_desc	Unlocks the overclocker, which produces energy used to boost components
research_amplifier	Amplifier
research_amplifier_desc	Unlocks the amplifier, which can be used to boost the overclocking effect
research_photovoltaics	Photovoltaics
research_photovoltaics_desc	Unlocks the use of solar panels as a power source
research_wind_power	Aerodynamics
research_wind_power_desc	Unlocks the use of wind turbines as a power source
research_coal_power	Coal Power
research_coal_power_desc	Unlocks the use of coal generators as a power source
research_steam	Steam Power
research_steam_desc	Unlocks the use of steam engines as a power source
research_geothermal	Earth Power
research_geothermal_desc	Unlocks the use of geothermal generators as a power source
research_fission	Nuclear Fission
research_fission_desc	Unlocks the use of fission reactors as a power source
research_fusion	Nuclear Fusion
research_fusion_desc	Unlocks the use of fusion reactors as a power source
research_tier2	Tier 2
research_tier2_desc	Unlocks the option to Hard Reboot and produce Science B points
research_async_uploads	Async Uploads
research_async_uploads_desc	Increases upload speed by 100% for each active upload
research_dyson_sphere	Sun Power
research_dyson_sphere_desc	Unlocks the use of dyson spheres as a power source
research_enhance	Logistics
research_enhance_desc	Unlocks the Conveyor Size modification for the manufactory
research_engineer_robot	Engineer Robot
research_engineer_robot_desc	Unlocks robots that can manage modifications for the manufactory
research_advanced_laboratory	Advanced Laboratory
research_advanced_laboratory_desc	Automatically converts uploaded data into Science A points
research_robotics	Logistic Robots
research_robotics_desc	Unlocks robots that can automate tasks
research_cryogenics	Cryogenics
research_cryogenics_desc	Unlocks the use of dilution refrigerators as a coolant for generators
research_amplification	Amplification
research_amplification_desc	Unlocks amplificators that can be charged using energy to amplify your machines
research_field_modulation	Field Modulation
research_field_modulation_desc	Unlocks modulators that can alter the flow of the quantum fields
research_tier3	Tier 3
research_tier3_desc	Unlocks the option to Reset and produce Science C points
research_space_shaper	Space Shaper
research_space_shaper_desc	Unlocks machines that can reshape the space-time continuum
research_drivers	Drivers
research_drivers_desc	Unlocks a new set of upload types that increases component's performance by x1.01 permanently after completion
research_perpetual_motion	Perpetual Motion
